Community Board,Borough,Total Population,White Nonhispanic,Black Nonhispanic,Asian and Pacific Islander Nonhispanic,Other Nonhispanic,Two or More Races Nonhispanic,Hispanic Origin,Female,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 44 years,45 to 64 years,65 years and over,18 years and over,In households,In households - In family households,In households - Householder,In households - Spouse,In households - Own child under 18 years,In households - Other relatives,In households - Nonrelatives,In nonfamily households,In nonfamily households - Householder,In nonfamily households - Householder - Household 65 years and over living alone,In nonfamily households - Nonrelatives,In group quarters,Total Households,Family households ,Family households - Married-couple family ,Family households - Married-couple family - With related children under 18 years,"Family households - Female householder, no husband present ","Family households - Female householder, no husband present - With related children under 18 years","Family households - Male householder, no wife present ","Family households - Male householder, no wife present - With related children under 18 years",Nonfamily households ,Households with one or more persons 65 years and over ,Persons Per Family,Persons Per Household ,Total Housing Units,Occupied Housing Units,Renter occupied ,Owner occupied ,By Household Size - 1  person household ,By Household Size - 2  person household ,By Household Size - 3  person household ,By Household Size - 4  person household ,By Household Size - 5 persons and over ,By Age of Householder - 15 to 24 years  ,By Age of Householder - 25 to 44 years ,By Age of Householder - 45 to 64 years ,By Age of Householder - 65 years and over 
211,The Bronx,"113,232","31,037","22,981","8,705","1,080","1,591","47,838","59,948","53,284","7,294","6,975","7,078","7,768","8,162","32,953","27,517","15,485","87,218","108,822","91,920","26,944","14,813","22,447","24,432","3,284","16,902","14,312","4,254","2,590","4,410","41,256","26,944","14,813","7,284","9,368","5,853","2,763","1,326","14,312","10,492",3.29,2.64,"43,691","41,256","29,781","11,475","12,267","10,875","7,339","5,479","5,296","1,151","15,485","16,013","8,607"
212,The Bronx,"152,344","10,869","99,083","2,922","2,062","2,498","34,910","83,468","68,876","10,249","10,546","10,980","12,549","11,392","41,196","37,897","17,535","112,835","149,740","129,434","36,873","16,007","31,957","39,522","5,075","20,306","16,847","4,703","3,459","2,604","53,720","36,873","16,007","8,145","16,962","11,213","3,904","1,921","16,847","13,261",3.37,2.79,"57,351","53,720","36,211","17,509","14,274","13,574","10,175","7,573","8,124","1,754","19,146","22,154","10,666"
301,Brooklyn,"173,083","105,311","8,982","8,765",805,"2,212","47,008","87,575","85,508","14,047","11,072","9,975","10,414","16,444","66,070","30,395","14,666","131,819","171,642","120,016","33,140","21,842","37,502","24,752","2,780","51,626","32,702","5,360","18,924","1,441","65,842","33,140","21,842","11,455","8,738","4,724","2,560",956,"32,702","11,870",3.54,2.61,"72,105","65,842","56,511","9,331","19,018","22,092","10,406","6,255","8,071","5,101","32,724","17,616","10,401"
302,Brooklyn,"99,617","45,970","27,921","7,815",610,"3,130","14,171","53,279","46,338","5,832","3,659","3,397","5,219","7,586","42,093","21,019","10,812","84,598","91,112","56,127","18,968","11,997","12,714","10,891","1,557","34,985","26,354","4,182","8,631","8,505","45,322","18,968","11,997","5,276","5,626","3,212","1,345",567,"26,354","8,228",2.88,2.01,"50,753","45,322","30,169","15,153","19,297","14,877","5,809","3,432","1,907","1,719","22,939","13,206","7,458"
303,Brooklyn,"152,985","16,634","98,780","3,525",919,"2,639","30,488","82,524","70,461","11,315","10,463","10,480","11,639","13,663","48,912","32,994","13,519","113,889","150,727","117,614","33,388","12,411","31,542","35,373","4,900","33,113","24,851","4,829","8,262","2,258","58,239","33,388","12,411","6,727","17,211","11,290","3,766","1,844","24,851","11,335",3.38,2.59,"65,614","58,239","47,675","10,564","19,306","15,030","9,854","6,425","7,624","2,995","24,731","20,870","9,643"
304,Brooklyn,"112,634","9,564","22,688","4,807",790,"1,169","73,616","56,665","55,969","8,244","7,753","7,683","8,630","11,809","38,125","22,003","8,387","83,984","111,233","90,918","23,557","10,699","22,827","27,981","5,854","20,315","12,950","2,450","7,365","1,401","36,507","23,557","10,699","6,271","9,736","6,593","3,122","1,589","12,950","6,785",3.61,3.05,"39,992","36,507","31,116","5,391","8,309","8,886","6,724","5,496","7,092","2,512","16,428","12,312","5,255"
305,Brooklyn,"182,896","6,237","94,316","9,055","3,293","2,905","67,090","99,428","83,468","13,623","13,754","14,563","16,536","15,275","49,292","42,053","17,800","130,993","180,345","160,121","43,563","17,439","41,658","50,893","6,568","20,224","16,827","4,764","3,397","2,551","60,390","43,563","17,439","9,766","21,720","14,874","4,404","2,346","16,827","14,016",3.52,2.99,"65,612","60,390","46,588","13,802","14,524","13,999","11,551","9,173","11,143","2,035","22,443","24,826","11,086"
306,Brooklyn,"104,709","65,691","10,967","5,563",560,"2,886","19,042","55,690","49,019","7,284","5,149","4,157","3,937","5,312","45,967","23,206","9,697","85,528","103,215","69,403","23,102","16,346","17,375","10,897","1,683","33,812","24,086","3,313","9,726","1,494","47,188","23,102","16,346","7,967","5,390","3,187","1,366",614,"24,086","7,531",2.93,2.19,"50,268","47,188","32,691","14,497","16,077","16,613","7,494","4,882","2,122","1,349","24,711","14,487","6,641"
307,Brooklyn,"126,230","29,464","3,688","33,321",612,"1,770","57,375","61,961","64,269","9,429","7,759","6,732","7,511","10,761","47,287","26,418","10,333","97,914","123,810","103,049","26,264","17,069","22,983","29,769","6,964","20,761","13,779","2,685","6,982","2,420","40,043","26,264","17,069","9,573","6,146","3,568","3,049","1,485","13,779","8,033",3.66,3.09,"42,506","40,043","29,245","10,798","9,027","10,594","6,675","5,858","7,889","1,751","18,385","13,681","6,226"
308,Brooklyn,"96,317","16,056","63,111","2,740",608,"2,304","11,498","52,890","43,427","6,233","5,373","5,492","6,030","7,753","34,190","21,747","9,499","75,593","94,271","68,862","21,059","8,605","16,554","20,015","2,629","25,409","18,793","3,421","6,616","2,046","39,852","21,059","8,605","4,171","10,368","6,548","2,086","1,003","18,793","7,783",3.15,2.37,"43,351","39,852","33,137","6,715","13,911","11,763","6,620","3,962","3,596","1,704","17,728","13,851","6,569"
309,Brooklyn,"98,429","18,825","66,958","1,239",579,"1,671","9,157","53,847","44,582","6,663","5,954","6,042","6,597","8,200","28,682","24,338","11,953","75,849","96,462","78,382","22,483","10,301","18,150","24,737","2,711","18,080","14,348","3,568","3,732","1,967","36,831","22,483","10,301","5,316","9,746","5,538","2,436","1,070","14,348","9,444",3.37,2.62,"38,710","36,831","30,878","5,953","11,533","10,018","6,319","4,152","4,809","1,356","12,955","14,673","7,847"
310,Brooklyn,"124,491","76,537","1,757","25,766",426,"2,137","17,868","64,091","60,400","7,251","6,665","6,385","6,547","7,713","39,055","32,821","18,054","100,215","123,948","98,128","29,524","21,681","22,104","22,554","2,265","25,820","21,511","6,206","4,309",543,"51,035","29,524","21,681","10,226","5,361","2,333","2,482",854,"21,511","13,971",3.25,2.43,"57,750","51,035","32,482","18,553","17,974","14,377","7,370","5,952","5,362","1,357","18,885","19,000","11,793"
311,Brooklyn,"181,981","90,741","1,362","62,948",530,"2,161","24,239","93,077","88,904","10,493","9,992","10,073","10,541","13,090","52,772","48,469","26,551","145,177","180,995","156,371","45,108","32,641","32,806","41,925","3,891","24,624","19,865","7,143","4,759",986,"64,973","45,108","32,641","15,489","8,386","3,696","4,081","1,454","19,865","19,676",3.38,2.79,"72,420","64,973","44,449","20,524","16,543","17,754","11,637","9,912","9,127","2,084","22,360","25,161","15,368"
312,Brooklyn,"191,382","125,152","4,338","33,878",825,"2,335","24,854","95,273","96,109","21,724","18,334","15,975","15,308","15,143","49,276","36,708","18,914","126,053","190,160","170,346","40,626","32,871","61,436","31,504","3,909","19,814","15,528","5,931","4,286","1,222","56,154","40,626","32,871","19,895","5,163","2,590","2,592","1,141","15,528","14,019",4.10,3.39,"61,101","56,154","40,106","16,048","12,798","13,378","8,104","7,232","14,642","3,656","20,834","19,588","12,076"
313,Brooklyn,"104,278","59,405","13,401","12,310",437,"1,302","17,423","56,528","47,750","5,257","4,973","5,332","6,427","6,743","23,763","29,236","22,547","84,893","102,540","83,175","26,476","16,618","16,320","21,819","1,942","19,365","17,079","8,292","2,286","1,738","43,555","26,476","16,618","5,907","7,739","4,128","2,119",749,"17,079","16,930",3.07,2.35,"46,298","43,555","31,680","11,875","15,301","13,496","6,524","4,349","3,885",943,"10,343","17,221","15,048"
314,Brooklyn,"160,664","59,590","56,948","15,184","1,094","2,683","25,165","85,179","75,485","11,680","10,597","10,730","11,631","12,650","45,277","39,782","18,317","120,633","159,594","134,661","37,015","22,122","33,962","37,086","4,476","24,933","19,837","5,395","5,096","1,070","56,852","37,015","22,122","11,566","11,504","6,507","3,389","1,585","19,837","14,207",3.52,2.81,"60,417","56,852","45,111","11,741","16,185","15,090","9,409","6,925","9,243","1,896","19,748","23,589","11,619"
315,Brooklyn,"159,650","114,721","5,298","24,121",414,"2,067","13,029","83,315","76,335","9,757","9,087","8,891","9,752","11,080","40,519","44,245","26,319","126,119","158,539","134,198","40,727","30,356","30,686","30,191","2,238","24,341","21,033","8,459","3,308","1,111","61,760","40,727","30,356","13,160","7,512","3,458","2,859",925,"21,033","19,868",3.24,2.57,"70,595","61,760","35,130","26,630","18,456","18,392","10,145","7,473","7,294","1,682","18,297","24,879","16,902"
316,Brooklyn,"86,468",858,"65,930",620,567,"1,124","17,369","48,709","37,759","6,717","6,742","7,362","8,320","7,220","22,914","19,036","8,157","60,637","84,321","73,205","21,046","6,167","20,239","23,198","2,555","11,116","9,583","3,031","1,533","2,147","30,629","21,046","6,167","3,257","12,892","9,013","1,987","1,041","9,583","6,983",3.36,2.75,"32,969","30,629","25,774","4,855","8,474","7,642","5,903","4,067","4,543","1,115","11,459","12,103","5,952"
317,Brooklyn,"155,252","2,204","137,243","1,786","1,005","2,478","10,536","86,850","68,402","9,681","9,389","9,955","11,025","11,451","42,553","42,013","19,185","119,641","153,921","133,208","38,491","16,261","26,370","47,075","5,011","20,713","17,080","4,158","3,633","1,331","55,571","38,491","16,261","7,772","18,032","10,668","4,198","1,936","17,080","14,922",3.33,2.77,"59,098","55,571","39,825","15,746","14,352","14,756","10,967","7,495","8,001","1,487","17,732","24,677","11,675"
318,Brooklyn,"193,543","50,277","115,368","7,317","1,197","3,037","16,347","106,400","87,143","11,960","12,672","13,337","14,616","13,903","50,458","53,689","22,908","146,713","192,165","172,127","48,803","27,681","38,806","51,702","5,135","20,038","17,265","5,333","2,773","1,378","66,068","48,803","27,681","13,972","17,005","9,807","4,117","1,913","17,265","17,701",3.42,2.91,"70,634","66,068","30,037","36,031","15,135","16,840","13,013","10,311","10,769","1,322","20,876","30,609","13,261"
101,Manhattan,"60,978","40,810","2,595","10,627",319,"1,780","4,847","30,356","30,622","3,931","2,088","1,276","2,058","7,244","29,967","10,818","3,596","53,009","56,486","30,928","11,242","9,247","7,790","2,184",465,"25,558","18,312","1,566","7,246","4,492","29,554","11,242","9,247","4,180","1,362",681,633,274,"18,312","2,945",2.71,1.91,"34,139","29,554","22,163","7,391","12,490","10,624","3,713","2,161",566,"2,567","17,444","6,885","2,658"
102,Manhattan,"90,016","67,769","1,650","12,521",373,"2,110","5,593","46,391","43,625","3,059","2,203","1,670","4,450","7,381","37,891","21,556","11,806","82,080","84,583","38,331","14,209","11,413","7,497","4,506",706,"46,252","36,550","5,398","9,702","5,433","50,759","14,209","11,413","3,989","1,898",815,898,344,"36,550","9,567",2.65,1.67,"56,211","50,759","35,725","15,034","28,019","15,829","3,945","2,173",793,"3,194","23,987","14,674","8,904"
103,Manhattan,"163,277","52,898","11,294","55,180",675,"3,036","40,194","85,550","77,727","6,075","5,924","6,136","9,625","17,003","55,564","39,409","23,541","141,125","154,987","100,313","31,331","18,082","16,460","31,131","3,309","54,674","40,768","8,268","13,906","8,290","72,099","31,331","18,082","6,677","10,342","5,122","2,907",931,"40,768","18,458",3.10,2.15,"75,975","72,099","62,283","9,816","30,203","21,872","9,223","5,675","5,126","4,658","27,805","23,226","16,410"
104,Manhattan,"103,245","62,037","6,403","13,604",562,"2,380","18,259","49,255","53,990","3,295","2,197","1,930","2,616","8,836","46,081","26,432","11,858","94,533","100,525","42,215","15,542","10,563","7,674","7,500",936,"58,310","45,517","6,247","12,793","2,720","61,059","15,542","10,563","3,405","3,673","1,777","1,306",382,"45,517","10,118",2.66,1.65,"69,598","61,059","47,825","13,234","34,596","18,428","4,814","2,181","1,040","3,853","29,153","18,730","9,323"
105,Manhattan,"51,673","34,962","2,123","9,342",204,"1,069","3,973","26,558","25,115","1,816",872,648,"1,857","6,315","23,252","11,079","5,834","47,957","47,947","19,567","7,789","6,366","3,442","1,680",290,"28,380","22,032","2,970","6,348","3,726","29,821","7,789","6,366","1,882","1,004",420,419,135,"22,032","4,773",2.47,1.61,"36,550","29,821","21,797","8,024","16,863","9,443","2,231","1,005",279,"2,624","15,080","7,671","4,446"
