Community Board,Borough,Total Population,White Nonhispanic,Black Nonhispanic,Asian and Pacific Islander Nonhispanic,Other Nonhispanic,Two or More Races Nonhispanic,Hispanic Origin,Female,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 44 years,45 to 64 years,65 years and over,18 years and over,In households,In households - In family households,In households - Householder,In households - Spouse,In households - Own child under 18 years,In households - Other relatives,In households - Nonrelatives,In nonfamily households,In nonfamily households - Householder,In nonfamily households - Householder - Household 65 years and over living alone,In nonfamily households - Nonrelatives,In group quarters,Total Households,Family households ,Family households - Married-couple family ,Family households - Married-couple family - With related children under 18 years,"Family households - Female householder, no husband present ","Family households - Female householder, no husband present - With related children under 18 years","Family households - Male householder, no wife present ","Family households - Male householder, no wife present - With related children under 18 years",Nonfamily households ,Households with one or more persons 65 years and over ,Persons Per Family,Persons Per Household ,Total Housing Units,Occupied Housing Units,Renter occupied ,Owner occupied ,By Household Size - 1  person household ,By Household Size - 2  person household ,By Household Size - 3  person household ,By Household Size - 4  person household ,By Household Size - 5 persons and over ,By Age of Householder - 15 to 24 years  ,By Age of Householder - 25 to 44 years ,By Age of Householder - 45 to 64 years ,By Age of Householder - 65 years and over 
407,Queens,"247,354","73,668","5,512","122,094",862,"4,054","41,164","129,489","117,865","12,263","11,490","11,217","12,927","15,757","70,784","72,305","40,611","204,687","244,618","209,645","62,464","45,587","37,214","56,434","7,946","34,973","26,781","9,712","8,192","2,736","89,245","62,464","45,587","19,022","11,515","4,510","5,362","1,729","26,781","28,849",3.23,2.74,"95,475","89,245","45,995","43,250","21,690","25,656","16,795","13,671","11,433","1,920","27,498","36,645","23,182"
408,Queens,"151,107","52,871","19,107","47,130","1,817","4,561","25,621","78,956","72,151","9,435","8,206","7,962","10,699","11,882","42,331","39,510","21,082","120,111","145,946","124,060","36,611","26,465","27,594","30,641","2,749","21,886","17,720","5,340","4,166","5,161","54,331","36,611","26,465","12,616","7,448","3,422","2,698","1,061","17,720","15,168",3.31,2.69,"56,863","54,331","29,383","24,948","14,908","15,152","9,433","7,718","7,120","1,700","18,432","22,185","12,014"
409,Queens,"143,317","28,029","11,996","31,371","6,697","6,562","58,662","72,149","71,168","9,292","8,989","9,463","10,457","11,091","44,240","36,229","13,556","109,343","142,760","127,063","32,812","21,551","28,126","38,931","5,643","15,697","11,998","2,870","3,699",557,"44,810","32,812","21,551","11,946","7,731","4,596","3,530","1,678","11,998","10,362",3.70,3.19,"47,999","44,810","26,034","18,776","9,461","10,327","7,934","7,357","9,731","1,336","17,476","18,880","7,118"
410,Queens,"122,396","31,712","20,990","22,359","9,806","9,234","28,295","63,429","58,967","6,960","7,263","7,841","8,781","8,793","34,256","33,458","15,044","94,956","122,076","111,136","30,074","20,333","22,441","34,737","3,551","10,940","8,976","3,120","1,964",320,"39,050","30,074","20,333","10,296","6,947","3,633","2,794","1,254","8,976","11,506",3.58,3.13,"41,391","39,050","15,284","23,766","7,567","9,353","7,341","7,012","7,777",819,"12,597","17,123","8,511"
411,Queens,"116,431","54,690","2,400","45,777",330,"1,558","11,676","60,937","55,494","5,378","5,901","6,466","6,736","6,270","30,385","35,650","19,645","94,340","115,624","100,873","30,895","24,480","20,259","23,703","1,536","14,751","12,752","4,488","1,999",807,"43,647","30,895","24,480","10,708","4,640","1,839","1,775",591,"12,752","14,151",3.22,2.65,"45,688","43,647","13,398","30,249","11,129","12,651","8,003","7,104","4,760",520,"12,517","19,300","11,310"
412,Queens,"225,919","3,813","147,550","20,323","7,526","7,581","39,126","121,207","104,712","14,283","14,448","15,318","17,439","17,573","62,677","57,894","26,287","171,410","222,037","198,428","52,019","25,767","40,600","70,387","9,655","23,609","18,628","6,179","4,981","3,882","70,647","52,019","25,767","14,254","20,456","12,022","5,796","2,743","18,628","20,424",3.63,3.14,"76,426","70,647","37,688","32,959","15,527","15,832","13,054","11,301","14,933","1,575","22,478","30,817","15,777"
413,Queens,"188,593","24,619","104,035","27,814","4,104","5,684","22,337","101,169","87,424","10,194","10,525","11,720","13,402","13,324","49,312","53,126","26,990","147,998","185,055","167,647","45,374","28,198","30,992","57,212","5,871","17,408","14,288","5,251","3,120","3,538","59,662","45,374","28,198","13,775","13,199","6,996","3,977","1,770","14,288","19,963",3.57,3.10,"63,216","59,662","17,709","41,953","12,084","14,335","11,412","10,207","11,624",852,"16,550","27,138","15,122"
414,Queens,"114,978","40,459","44,663","2,618","1,186","1,950","24,102","60,964","54,014","8,864","8,275","8,169","8,729","7,787","29,227","28,608","15,319","84,281","109,636","93,547","26,500","14,322","26,380","23,257","3,088","16,089","13,928","4,742","2,161","5,342","40,428","26,500","14,322","7,367","9,834","6,612","2,344","1,206","13,928","10,412",3.41,2.71,"45,250","40,428","26,217","14,211","12,297","10,293","6,581","5,135","6,122","1,118","13,998","16,294","9,018"
501,Staten Island,"175,756","69,525","38,620","13,166",931,"3,459","50,055","90,447","85,309","12,146","12,366","12,390","13,707","13,189","48,477","45,041","18,440","130,805","171,858","147,980","41,291","25,836","38,802","36,978","5,073","23,878","19,361","5,439","4,517","3,898","60,652","41,291","25,836","13,460","11,842","7,595","3,613","1,763","19,361","13,985",3.46,2.83,"65,422","60,652","29,279","31,373","16,006","15,513","10,454","9,051","9,628","1,669","21,740","25,773","11,470"
502,Staten Island,"132,003","93,318","3,951","15,003",476,"1,827","17,428","68,699","63,304","7,226","7,471","7,885","8,513","8,400","34,142","38,481","19,885","104,153","129,345","113,927","34,141","25,927","25,293","26,479","2,087","15,418","13,246","4,577","2,172","2,658","47,387","34,141","25,927","11,682","6,064","2,953","2,150",862,"13,246","13,864",3.28,2.73,"50,319","47,387","15,826","31,561","11,427","13,633","8,583","7,770","5,974",740,"14,351","21,138","11,158"
503,Staten Island,"160,209","136,851","1,667","6,653",307,"1,330","13,401","81,939","78,270","8,871","10,079","10,467","10,678","9,790","42,548","46,767","21,009","124,077","158,974","142,506","42,922","34,343","33,730","29,622","1,889","16,468","14,328","4,962","2,140","1,235","57,250","42,922","34,343","16,176","6,339","2,956","2,240",897,"14,328","15,626",3.28,2.78,"60,584","57,250","14,049","43,201","12,552","16,071","10,600","10,959","7,068",691,"17,963","25,713","12,883"
